# Taxa	W1	W10	W11	W12	W13	W14	W15	W16	W17	W19	W2	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W3	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W4	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W5	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W6	W60	W7	W8	W9
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Polynucleobacter	0	0	0.052264808	0.029274005	0.049074074	0	0.029135338	0.025821596	0.021956088	0.033910035	0	0	0.038314176	0.040332907	0.024984385	0.023021583	0.05	0.012896825	0.049535604	0.032674772	0.028	0.030330882	0.034285714	0.027486911	0.045454545	0.028891509	0.048598131	0.025423729	0.016746411	0.018768328	0.033719175	0.022362385	0.01937658	0.025062657	0.038616715	0.031329382	0.015880218	0.017945545	0.04953271	0.030790763	0.029288703	0.024892293	0.029072682	0.024663677	0.035714286	0.038543897	0.035321367	0.019761219	0.026702786	0.022319475	0.035714286	0	0.027874564	0.033441208	0	0.065355697	0.042857143	0.078464107	0.031731641
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Chitinophagales_D_4__Chitinophagaceae_D_5__uncultured	0.065240642	0.086956522	0.022067364	0.071428571	0.040740741	0.052593134	0.072368421	0.059859155	0.057218896	0.076816609	0.019836639	0.012903226	0.068199234	0.069142125	0.059962523	0.036690647	0.053846154	0	0.061145511	0.015957447	0.039428571	0.075367647	0.066031746	0.061518325	0.058181818	0.066037736	0.053582555	0.072740113	0.017942584	0.032844575	0.022647207	0.063646789	0.0084246	0.05075188	0.079538905	0.068585944	0.05399274	0.04950495	0.017757009	0.036389083	0.059274756	0.057922451	0.061152882	0.05941704	0.0625	0.051391863	0.072958888	0.04610951	0.041795666	0.060393873	0.070833333	0.061915047	0.026480836	0.031823085	0.07823741	0.058993638	0.134065934	0.07345576	0.040797824
D_0__Bacteria_D_1__Firmicutes_D_2__Clostridia_D_3__Clostridiales_D_4__Clostridiaceae 1_D_5__Clostridium sensu stricto 1	0.00855615	0	0.004645761	0	0	0.010956903	0	0	0	0	0.004667445	0.015053763	0	0	0	0.00647482	0	0.015873016	0	0	0.004571429	0	0	0.007198953	0	0	0	0	0	0.02111437	0.003019628	0.013188073	0	0	0	0.011854361	0	0	0	0.011196641	0	0	0	0	0	0	0	0	0	0	0	0	0.001393728	0.002696872	0.007194245	0.008097166	0.014285714	0	0
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Chitinophagales_D_4__Chitinophagaceae_D_5__Sediminibacterium	0	0	0	0	0.023148148	0	0	0	0	0.011072664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008411215	0	0	0	0	0	0	0.012847966	0.01910828	0	0	0.014004376	0	0.007919366	0.016027875	0	0.011690647	0.012724118	0	0.030050083	0
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__Candidatus Methylopumilus	0	0	0	0.022248244	0	0	0	0.013497653	0	0	0	0	0	0.012804097	0	0	0.013461538	0	0.023993808	0	0.013714286	0	0.015873016	0	0	0	0.014330218	0	0	0	0.009562154	0	0	0	0.017867435	0	0	0	0	0	0.012552301	0	0.0160401	0	0	0.017130621	0.015055009	0.007410457	0.011996904	0.016630197	0.013690476	0.01799856	0	0	0	0.019664546	0.016483516	0	0.013599275
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__NS11-12 marine group_D_5__uncultured Bacteroidetes bacterium	0	0.011857708	0.006968641	0	0.008333333	0.008765522	0.009398496	0.007042254	0.005322688	0.010380623	0	0	0	0.005121639	0.004372267	0.008633094	0	0	0	0.007598784	0.007428571	0.010110294	0.012698413	0	0.006666667	0.007665094	0.008722741	0.009887006	0.007177033	0	0.007045798	0.009747706	0.01347936	0	0.008645533	0	0.004083485	0.007425743	0	0	0.006973501	0.004786979	0.006015038	0	0	0.003211991	0	0	0.008513932	0.004814004	0	0	0.009059233	0.012405609	0.011690647	0	0	0.020033389	0.009972801
D_0__Bacteria_D_1__Firmicutes_D_2__Clostridia_D_3__Clostridiales_D_4__Ruminococcaceae_D_5__uncultured	0	0	0	0	0	0	0.001879699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Chitinophagales_D_4__Saprospiraceae_D_5__Haliscomenobacter	0.023529412	0.050395257	0	0	0.026851852	0.024835646	0.017857143	0.023474178	0.0166334	0.047058824	0.036172695	0	0.021455939	0.028169014	0.019362898	0.011510791	0.015384615	0.020833333	0.02244582	0.011398176	0.016571429	0.027573529	0.022222222	0.030104712	0.032121212	0.016509434	0.01682243	0.021892655	0.027511962	0.032844575	0.021137393	0.020642202	0.01432182	0.031954887	0.014409222	0.016088061	0.010889292	0.016089109	0.024299065	0.035689293	0.020920502	0.009573959	0.010526316	0.031390135	0.018668831	0.033190578	0.031847134	0.01605599	0.024380805	0.023194748	0.028571429	0.022318215	0.036236934	0.016720604	0.026079137	0.033545402	0.023076923	0.026711185	0.009972801
D_0__Bacteria_D_1__Actinobacteria_D_2__Actinobacteria_D_3__Frankiales_D_4__Sporichthyaceae_D_5__hgcI clade	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01006192	0	0	0.009191176	0	0	0.00969697	0	0	0	0	0	0.003019628	0	0	0	0.005763689	0	0	0	0.010280374	0	0	0	0	0	0	0	0	0	0	0.015754923	0	0	0	0	0	0	0	0	0.004533092
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Gammaproteobacteria Incertae Sedis_D_4__Unknown Family_D_5__uncultured gamma proteobacterium	0	0.031620553	0.039488966	0.038641686	0.043518519	0	0.003759398	0	0.011976048	0	0.012835473	0	0.003831418	0.008322663	0.007495315	0	0.007692308	0	0	0	0	0	0	0.015052356	0.042424242	0	0.021806854	0.024011299	0.011363636	0.04398827	0	0.006880734	0	0.012531328	0	0.011854361	0	0.015470297	0.024299065	0	0.011157601	0.022020105	0.02556391	0	0	0.024625268	0	0.014820914	0.02244582	0.005251641	0.055952381	0	0.020209059	0.020496224	0.01528777	0.025448236	0	0	0.022665458
D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__Chthoniobacterales_D_4__Terrimicrobiaceae_D_5__Terrimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002321981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Flavobacteriaceae_D_5__Flavobacterium	0.042780749	0.013833992	0.013937282	0.008196721	0	0	0	0.012323944	0.01996008	0.006920415	0.01050175	0.04516129	0.005363985	0	0.012492192	0	0.013461538	0.024801587	0.012383901	0.001519757	0.008	0	0.008253968	0.009816754	0	0.008254717	0.005607477	0.007768362	0.039473684	0	0.004529441	0.007454128	0.01010952	0.023182957	0.01037464	0.018628281	0.007259528	0.003712871	0.011214953	0.030090973	0.011854951	0	0	0	0.007305195	0.011777302	0.00463231	0	0.006578947	0.019256018	0.008928571	0.014398848	0	0	0.035071942	0.008097166	0.003296703	0.015025042	0
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Nostocaceae_D_5__Sphaerospermopsis BCCUSP55	0	0	0	0.008196721	0	0	0	0.029342723	0.040585496	0	0	0.051612903	0.017624521	0.017925736	0	0	0.0125	0.052579365	0.01006192	0.006838906	0.004	0.009191176	0.026666667	0	0.025454545	0.013561321	0.009345794	0.017655367	0.041866029	0.04340176	0.01610468	0.013188073	0.00673968	0.028822055	0	0.018628281	0.007713249	0.003712871	0	0.023792862	0.009762901	0.007659167	0.00952381	0.016816143	0	0.026231263	0.011001737	0.007822149	0	0	0.017261905	0.036717063	0.034843206	0.022653722	0	0.020242915	0	0	0.004533092
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea	0	0.011857708	0	0	0	0	0	0	0	0	0.017502917	0	0	0.012163892	0	0.021582734	0	0	0	0.017477204	0.028571429	0.012867647	0.008888889	0	0	0.018867925	0	0	0	0	0.009562154	0	0.01432182	0	0	0	0.014972777	0.016089109	0	0	0	0.018190522	0.018546366	0.011210762	0	0	0	0.01811445	0.007739938	0	0	0	0	0	0	0	0.01978022	0.038397329	0.040797824
D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Rickettsiales_D_4__Rickettsiaceae_D_5__Candidatus Megaira	0.025668449	0.020750988	0.038327526	0.017564403	0.019444444	0.021913806	0.020676692	0	0.01330672	0.020069204	0.024504084	0	0.024521073	0	0.010618364	0	0.022115385	0.007936508	0.013931889	0	0.013142857	0	0	0	0.026666667	0.017688679	0	0.025423729	0.0215311	0.036363636	0	0	0.00926706	0.006892231	0.03054755	0.026248942	0.009981851	0.011138614	0.041121495	0.039888034	0.017433752	0	0	0	0.039772727	0.009635974	0.023161552	0	0.017027864	0.026695842	0.014285714	0.02087833	0	0.01618123	0.021582734	0.025448236	0.024175824	0.01836394	0.007252947
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae_D_5__Methyloparacoccus	0	0.035573123	0	0.030444965	0.032407407	0.011687363	0	0.026408451	0.018629408	0	0	0	0	0.016645327	0.021861337	0.043165468	0	0.024801587	0	0.046352584	0.018285714	0.010110294	0.018412698	0	0	0.048938679	0.031775701	0.020480226	0.016148325	0.015249267	0.036235531	0.019495413	0.041280539	0.016290727	0	0.021168501	0.077132486	0.0625	0.028971963	0.027291812	0.020223152	0.043082815	0.015538847	0.051569507	0.012987013	0	0	0.030876904	0.028637771	0.007439825	0	0.008639309	0.0271777	0.027508091	0.012589928	0.030653557	0.015384615	0.043405676	0.051677244
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Sphaerotilus	0.028877005	0	0.030197445	0	0	0.03944485	0	0.029929577	0.0166334	0	0.016336056	0	0.029885057	0.028169014	0.021236727	0.020863309	0.033653846	0.013888889	0.034055728	0	0.018857143	0.026654412	0.026031746	0.028141361	0.022424242	0.018867925	0.045482866	0.041666667	0	0	0.026673377	0.024655963	0	0	0.019596542	0.030482642	0	0	0.03271028	0.017494752	0.023012552	0	0.021052632	0.016816143	0.034090909	0.018201285	0.024898668	0.022231371	0.02244582	0.025820569	0.032142857	0.020158387	0.029268293	0	0.026978417	0.025448236	0	0	0
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae___	0	0	0	0.040983607	0.02037037	0.058436815	0.035714286	0.024061033	0	0.049134948	0	0	0	0.031370038	0.011242973	0.032374101	0	0	0.020123839	0	0.061142857	0	0.035555556	0	0.018181818	0.023584906	0.026791277	0.017655367	0	0	0.03975843	0.024082569	0	0	0.075504323	0.038950042	0.038566243	0.045792079	0.04953271	0	0	0	0.036090226	0	0.060876623	0	0.026056746	0.022231371	0.058049536	0.059080963	0	0	0	0	0	0.021978022	0	0	0.048050771
D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Acetobacterales_D_4__Acetobacteraceae_D_5__Roseomonas	0	0	0	0	0	0	0	0	0	0	0	0.032258065	0.018390805	0	0	0.014388489	0.016346154	0	0.011609907	0	0.011428571	0	0.016507937	0.028795812	0.015151515	0.010023585	0	0	0.023923445	0	0	0.016055046	0.00673968	0.029448622	0	0	0.014519056	0	0	0	0.022315202	0.011967449	0.012030075	0	0.025974026	0.019807281	0.012159815	0.01193907	0.014705882	0.012253829	0	0.001439885	0	0.008629989	0.022482014	0.017929439	0	0	0.008159565
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__uncultured	0.031016043	0	0	0	0.021296296	0.03871439	0.016917293	0.018192488	0	0.02283737	0.03033839	0	0.032183908	0	0.019362898	0.034532374	0.039423077	0.034722222	0.028637771	0.026595745	0.022857143	0.034926471	0.036825397	0.023560209	0.013939394	0.035966981	0.009968847	0.026836158	0.017344498	0.027565982	0.024157021	0.018348624	0.028643639	0.023182957	0.024783862	0.028789162	0.034029038	0.023514851	0.029906542	0.025892232	0.017433752	0.020584011	0.026566416	0.033632287	0.020292208	0.021948608	0.020845397	0.031288596	0.030959752	0.032822757	0.033928571	0.020158387	0.027874564	0.021574973	0.033273381	0.031231926	0.034065934	0.046744574	0.023572076
D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__Verrucomicrobiales_D_4__Rubritaleaceae_D_5__Luteolibacter	0.007486631	0	0	0	0	0	0	0	0	0	0	0	0	0.003201024	0.003123048	0.007913669	0	0	0	0	0	0	0	0.004581152	0	0.005306604	0	0	0	0	0	0	0	0	0	0	0	0	0.008411215	0	0	0	0	0	0.004058442	0	0	0.00205846	0	0	0	0	0	0.001618123	0	0	0	0	0
D_0__Bacteria_D_1__Firmicutes_D_2__Bacilli_D_3__Bacillales_D_4__Bacillaceae___	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Nostocaceae_D_5__Dolichospermum NIES41	0	0.010869565	0	0	0	0	0	0.019953052	0.023952096	0	0	0.040860215	0.016858238	0.008962868	0	0	0	0.023809524	0	0	0	0	0	0.017015707	0	0	0	0.007768362	0.025717703	0.015249267	0	0	0	0.013157895	0	0	0	0	0	0	0	0	0	0	0	0.00856531	0	0	0	0.003501094	0.004761905	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae___	0	0	0	0	0	0	0	0	0.009314704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008145363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005417957	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__uncultured	0	0.020750988	0.023228804	0.022248244	0.02037037	0.023374726	0	0	0	0.027681661	0.026837806	0	0.022222222	0.032650448	0.018113679	0	0	0.012896825	0	0	0	0	0	0.018324607	0	0	0.025545171	0.027542373	0	0.019354839	0	0.029816514	0.02358888	0	0.024207493	0.031329382	0.010889292	0	0.022429907	0.016794962	0.020920502	0.029679272	0	0.028026906	0	0	0.031268095	0.018937834	0	0	0.022619048	0.023038157	0.031358885	0.015102481	0	0.027183343	0	0	0
D_0__Bacteria_D_1__Planctomycetes_D_2__Planctomycetacia_D_3__Pirellulales_D_4__Pirellulaceae_D_5__Pirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003123048	0	0	0	0	0.001519757	0	0	0	0	0	0	0	0	0.004186603	0.007038123	0.001509814	0	0	0	0	0	0.007713249	0	0	0	0	0.002872188	0	0	0	0	0.006948466	0.003293536	0	0	0.002380952	0	0	0	0.003597122	0.002891845	0	0	0
D_0__Bacteria_D_1__Bacteroidetes_D_2__Ignavibacteria_D_3__OPB56_D_4__uncultured bacterium_D_5__	0	0.016798419	0	0.021077283	0.013888889	0.014609204	0	0.01056338	0.00998004	0.015224913	0.019836639	0.006451613	0.019923372	0.021766965	0.021236727	0.021582734	0.015384615	0	0	0.017477204	0.018285714	0.018382353	0.018412698	0.015706806	0.018181818	0.021226415	0.014330218	0.019067797	0.017344498	0.018181818	0.024660292	0.019495413	0.0168492	0.011278195	0.014985591	0.015241321	0.023139746	0.014851485	0.017757009	0.010496851	0.016039052	0.01627573	0.014536341	0.014573991	0.008928571	0.012312634	0.017371164	0.012762454	0.022832817	0.015317287	0.010714286	0.013678906	0.025087108	0.026968716	0.009892086	0.015037594	0.015384615	0.020033389	0.015412511
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Cytophagales_D_4__Spirosomaceae_D_5__Pseudarcicella	0	0	0	0	0	0	0	0	0	0	0.002333722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylomonaceae_D_5__Methylomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012867647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00990099	0	0	0	0	0	0.013452915	0	0	0	0.008645533	0	0.003063457	0	0	0.003484321	0	0	0	0	0	0
D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Sphingomonadales_D_4__Sphingomonadaceae___	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004316547	0	0	0.011609907	0	0	0.011029412	0	0	0	0	0	0	0	0	0	0.008600917	0	0	0	0	0.007713249	0	0	0	0	0.005265677	0.009022556	0	0	0	0	0	0	0	0	0	0	0	0.005395683	0	0	0	0
D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__Pedosphaerales_D_4__Pedosphaeraceae_D_5__ADurb.Bin063-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Firmicutes_D_2__Clostridia_D_3__Clostridiales_D_4__Peptostreptococcaceae___	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006276151	0	0.006516291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria_D_1__Firmicutes_D_2__Bacilli_D_3__Bacillales_D_4__Bacillaceae_D_5__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001646768	0	0	0	0	0.002090592	0	0	0	0	0	0
