cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
15	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Rickettsiales_D_4__Rickettsiaceae_D_5__Candidatus Megaira	fDOM ppb	0.004097533150607525
16	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Neisseriaceae_D_5__uncultured	CDOM	0.004097533150607525
17	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__NS11-12 marine group_D_5__uncultured Bacteroidetes bacterium	DO;pH	0.004097533150607525
18	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea	ECCFU	0.005192721973292737
19	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Caulobacterales_D_4__Hyphomonadaceae_D_5__UKL13-1	ECCFU	0.0058468183386882365
20	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Xanthomonadales_D_4__Xanthomonadaceae_D_5__Silanimonas	NH3	0.007095374199670306
21	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae_D_5__Methyloparacoccus	DO	0.008797606923746997
22	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Xanthomonadales_D_4__Xanthomonadaceae_D_5__Silanimonas	PHYC	0.009361080835933797
23	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Neisseriaceae_D_5__uncultured	fDOM ppb	0.009361080835933797
24	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Neisseriaceae_D_5__uncultured	YSI-PC;YSI-Chl	0.009795343726032957
25	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__NS11-12 marine group_D_5__uncultured Bacteroidetes bacterium	fDOM ppb	0.009944313765457886
26	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae_D_5__Methyloparacoccus	PHYC	0.009944313765457886
27	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__Lentimicrobiaceae_D_5__wastewater metagenome	NH3	0.009944313765457886
